"","varname","label","val_labels"
"13","BNT.i09","Boston naming task; item 09 [Orig Label: Sag (brukes av snekker)]","1 Korrekt svar umiddelbart; 2 Korrekt svar etter latenstid innen 5 sekunder; 3 Korrekt svar etter semantisk cue; 4 Korrekt svar etter fonemisk cue; 5 Galt svar eller ikke svar etter fonemisk cue"
"14","BNT.i10","Boston naming task; item 10 [Orig Label: Tannbørste (brukesmunnen)]","1 Korrekt svar umiddelbart; 2 Korrekt svar etter latenstid innen 5 sekunder; 3 Korrekt svar etter semantisk cue; 4 Korrekt svar etter fonemisk cue; 5 Galt svar eller ikke svar etter fonemisk cue"
"15","BNT.i11","Boston naming task; item 11 [Orig Label: Helikopter (brukes tilreiselufta)]","1 Korrekt svar umiddelbart; 2 Korrekt svar etter latenstid innen 5 sekunder; 3 Korrekt svar etter semantisk cue; 4 Korrekt svar etter fonemisk cue; 5 Galt svar eller ikke svar etter fonemisk cue"
"16","BNT.i12","Boston naming task; item 12 [Orig Label: Kost (brukes tilgjøre rent)]","1 Korrekt svar umiddelbart; 2 Korrekt svar etter latenstid innen 5 sekunder; 3 Korrekt svar etter semantisk cue; 4 Korrekt svar etter fonemisk cue; 5 Galt svar eller ikke svar etter fonemisk cue"
"17","BNT.i13","Boston naming task; item 13 [Orig Label: Blekksprut (et dyrhavet)]","1 Korrekt svar umiddelbart; 2 Korrekt svar etter latenstid innen 5 sekunder; 3 Korrekt svar etter semantisk cue; 4 Korrekt svar etter fonemisk cue; 5 Galt svar eller ikke svar etter fonemisk cue"
"18","BNT.i14","Boston naming task; item 14 [Orig Label: Sopp (noe en kan spise)]","1 Korrekt svar umiddelbart; 2 Korrekt svar etter latenstid innen 5 sekunder; 3 Korrekt svar etter semantisk cue; 4 Korrekt svar etter fonemisk cue; 5 Galt svar eller ikke svar etter fonemisk cue"
"19","BNT.i15","Boston naming task; item 15 [Orig Label: Kleshenger (finnesskapet)]","1 Korrekt svar umiddelbart; 2 Korrekt svar etter latenstid innen 5 sekunder; 3 Korrekt svar etter semantisk cue; 4 Korrekt svar etter fonemisk cue; 5 Galt svar eller ikke svar etter fonemisk cue"
"20","BNT.i16","Boston naming task; item 16 [Orig Label: Rullestol (finnes på sykehus)]","1 Korrekt svar umiddelbart; 2 Korrekt svar etter latenstid innen 5 sekunder; 3 Korrekt svar etter semantisk cue; 4 Korrekt svar etter fonemisk cue; 5 Galt svar eller ikke svar etter fonemisk cue"
"21","BNT.i17","Boston naming task; item 17 [Orig Label: Kamel (et dyr)]","1 Korrekt svar umiddelbart; 2 Korrekt svar etter latenstid innen 5 sekunder; 3 Korrekt svar etter semantisk cue; 4 Korrekt svar etter fonemisk cue; 5 Galt svar eller ikke svar etter fonemisk cue"
"22","BNT.i18","Boston naming task; item 18 [Orig Label: Maske (del av et kostyme)]","1 Korrekt svar umiddelbart; 2 Korrekt svar etter latenstid innen 5 sekunder; 3 Korrekt svar etter semantisk cue; 4 Korrekt svar etter fonemisk cue; 5 Galt svar eller ikke svar etter fonemisk cue"
"23","BNT.i19","Boston naming task; item 19 [Orig Label: Kake/kringle (noe vi kan spise)]","1 Korrekt svar umiddelbart; 2 Korrekt svar etter latenstid innen 5 sekunder; 3 Korrekt svar etter semantisk cue; 4 Korrekt svar etter fonemisk cue; 5 Galt svar eller ikke svar etter fonemisk cue"
"24","BNT.i20","Boston naming task; item 20 [Orig Label: Benk (brukes tilsitte på)]","1 Korrekt svar umiddelbart; 2 Korrekt svar etter latenstid innen 5 sekunder; 3 Korrekt svar etter semantisk cue; 4 Korrekt svar etter fonemisk cue; 5 Galt svar eller ikke svar etter fonemisk cue"
"25","BNT.i21","Boston naming task; item 21 [Orig Label: Rekkert (brukesidrett)]","1 Korrekt svar umiddelbart; 2 Korrekt svar etter latenstid innen 5 sekunder; 3 Korrekt svar etter semantisk cue; 4 Korrekt svar etter fonemisk cue; 5 Galt svar eller ikke svar etter fonemisk cue"
"26","BNT.i22","Boston naming task; item 22 [Orig Label: Snegle (et dyr)]","1 Korrekt svar umiddelbart; 2 Korrekt svar etter latenstid innen 5 sekunder; 3 Korrekt svar etter semantisk cue; 4 Korrekt svar etter fonemisk cue; 5 Galt svar eller ikke svar etter fonemisk cue"
"27","BNT.i23","Boston naming task; item 23 [Orig Label: Vulkan (et slags fjell)]","1 Korrekt svar umiddelbart; 2 Korrekt svar etter latenstid innen 5 sekunder; 3 Korrekt svar etter semantisk cue; 4 Korrekt svar etter fonemisk cue; 5 Galt svar eller ikke svar etter fonemisk cue"
"28","BNT.i24","Boston naming task; item 24 [Orig Label: Sjøhest (et sjødyr)]","1 Korrekt svar umiddelbart; 2 Korrekt svar etter latenstid innen 5 sekunder; 3 Korrekt svar etter semantisk cue; 4 Korrekt svar etter fonemisk cue; 5 Galt svar eller ikke svar etter fonemisk cue"
"29","BNT.i25","Boston naming task; item 25 [Orig Label: Pil (du kan kaste den)]","1 Korrekt svar umiddelbart; 2 Korrekt svar etter latenstid innen 5 sekunder; 3 Korrekt svar etter semantisk cue; 4 Korrekt svar etter fonemisk cue; 5 Galt svar eller ikke svar etter fonemisk cue"
"30","BNT.miss","Boston naming task; number of missing items"," "
"31","BNT.S","Boston naming task; Score"," "
"32","BRF.P.EC.i01","BRIEF-Preschool; parent; Emotional control; item 01 [Orig Label: Overreagerer unødvendig sterkt på baga]","0 Aldri et problem; 1 Noen ganger et problem; 2 Ofte et problem"
"33","BRF.P.EC.i06","BRIEF-Preschool; parent; Emotional control; item 06 [Orig Label: Har voldsomme raserianfall]","0 Aldri et problem; 1 Noen ganger et problem; 2 Ofte et problem"
"34","BRF.P.EC.i11","BRIEF-Preschool; parent; Emotional control; item 11 [Orig Label:  11 Blir for lett oppbrakt og oppskaket]","0 Aldri et problem; 1 Noen ganger et problem; 2 Ofte et problem"
"35","BRF.P.EC.i16","BRIEF-Preschool; parent; Emotional control; item 16 [Orig Label:  16 Bryter utsinne for småting]","0 Aldri et problem; 1 Noen ganger et problem; 2 Ofte et problem"
"36","BRF.P.EC.i21","BRIEF-Preschool; parent; Emotional control; item 21 [Orig Label:  21 Humøret endrer seg ofte]","0 Aldri et problem; 1 Noen ganger et problem; 2 Ofte et problem"
"37","BRF.P.EC.i26","BRIEF-Preschool; parent; Emotional control; item 26 [Orig Label:  26 Små begivenheter utløser sterke reaks]","0 Aldri et problem; 1 Noen ganger et problem; 2 Ofte et problem"
"38","BRF.P.EC.i31","BRIEF-Preschool; parent; Emotional control; item 31 [Orig Label:  31 Utbrudd av sinne eller gråt er voldso]","0 Aldri et problem; 1 Noen ganger et problem; 2 Ofte et problem"
"39","BRF.P.EC.i36","BRIEF-Preschool; parent; Emotional control; item 36 [Orig Label:  36 Reagerer sterkere enn andre barn på s]","0 Aldri et problem; 1 Noen ganger et problem; 2 Ofte et problem"
"40","BRF.P.EC.i41","BRIEF-Preschool; parent; Emotional control; item 41 [Orig Label:  41 Blir lett overveldet eller overbegeis]","0 Aldri et problem; 1 Noen ganger et problem; 2 Ofte et problem"
"41","BRF.P.EC.i46","BRIEF-Preschool; parent; Emotional control; item 46 [Orig Label:  46 Er skuffetlang tid etterha fått]","0 Aldri et problem; 1 Noen ganger et problem; 2 Ofte et problem"
"42","BRF.P.EC.SS","BRIEF-Preschool; parent; Emotional control; sum of scores"," "
"43","BRF.P.IH.i03","BRIEF-Preschool; parent; Inhibition; item 03 [Orig Label: Er ikke klar over hvordan hans/hennes]","0 Aldri et problem; 1 Noen ganger et problem; 2 Ofte et problem"
"44","BRF.P.IH.i08","BRIEF-Preschool; parent; Inhibition; item 08 [Orig Label: Han/hun stopper ikkele av morsomhet]","0 Aldri et problem; 1 Noen ganger et problem; 2 Ofte et problem"
"45","BRF.P.IH.i13","BRIEF-Preschool; parent; Inhibition; item 13 [Orig Label:  13 Må ha tettere oppfølging enn jevnaldr]","0 Aldri et problem; 1 Noen ganger et problem; 2 Ofte et problem"
"46","BRF.P.IH.i18","BRIEF-Preschool; parent; Inhibition; item 18 [Orig Label:  18 Opptrer villere eller gjør flere tåpe]","0 Aldri et problem; 1 Noen ganger et problem; 2 Ofte et problem"
"47","BRF.P.IH.i23","BRIEF-Preschool; parent; Inhibition; item 23 [Orig Label:  23 Er fingrete, urolig og har kriblinger]","0 Aldri et problem; 1 Noen ganger et problem; 2 Ofte et problem"
"48","BRF.P.IH.i28","BRIEF-Preschool; parent; Inhibition; item 28 [Orig Label:  28 Er impulsiv]","0 Aldri et problem; 1 Noen ganger et problem; 2 Ofte et problem"
"49","BRF.P.IH.i33","BRIEF-Preschool; parent; Inhibition; item 33 [Orig Label:  33 Legger ikke merke til når hans/hennes]","0 Aldri et problem; 1 Noen ganger et problem; 2 Ofte et problem"
"50","BRF.P.IH.i38","BRIEF-Preschool; parent; Inhibition; item 38 [Orig Label:  38 Innser ikke at en del handlinger plag]","0 Aldri et problem; 1 Noen ganger et problem; 2 Ofte et problem"
"51","BRF.P.IH.i43","BRIEF-Preschool; parent; Inhibition; item 43 [Orig Label:  43 Kommer oftere ut av kontroll enn venn]","0 Aldri et problem; 1 Noen ganger et problem; 2 Ofte et problem"
"52","BRF.P.IH.i48","BRIEF-Preschool; parent; Inhibition; item 48 [Orig Label:  48 Snakker og leker alt for støyende]","0 Aldri et problem; 1 Noen ganger et problem; 2 Ofte et problem"
"53","BRF.P.IH.i52","BRIEF-Preschool; parent; Inhibition; item 52 [Orig Label:  52 Oppfører seg viltert eller ukontrolle]","0 Aldri et problem; 1 Noen ganger et problem; 2 Ofte et problem"
"54","BRF.P.IH.i54","BRIEF-Preschool; parent; Inhibition; item 54 [Orig Label:  54 Har vansker medstoppe en handling]","0 Aldri et problem; 1 Noen ganger et problem; 2 Ofte et problem"
"55","BRF.P.IH.i56","BRIEF-Preschool; parent; Inhibition; item 56 [Orig Label:  56 Avslutter oppgaver eller aktiviteter]","0 Aldri et problem; 1 Noen ganger et problem; 2 Ofte et problem"
"56","BRF.P.IH.i58","BRIEF-Preschool; parent; Inhibition; item 58 [Orig Label:  58 Blir lett avsporet under en aktivitet]","0 Aldri et problem; 1 Noen ganger et problem; 2 Ofte et problem"
"57","BRF.P.IH.i60","BRIEF-Preschool; parent; Inhibition; item 60 [Orig Label:  60 Oppfører seg ubetenksomt]","0 Aldri et problem; 1 Noen ganger et problem; 2 Ofte et problem"
"58","BRF.P.IH.i62","BRIEF-Preschool; parent; Inhibition; item 62 [Orig Label:  62 Leker uforsiktig eller hensynsløst i]","0 Aldri et problem; 1 Noen ganger et problem; 2 Ofte et problem"
"59","BRF.P.IH.SS","BRIEF-Preschool; parent; Inhibition; sum of scores"," "
"60","BRF.P.PO.i04","BRIEF-Preschool; parent; planning and organizing; item 04 [Orig Label: Når han/hun får beskjed omrydde, bl]","0 Aldri et problem; 1 Noen ganger et problem; 2 Ofte et problem"
"61","BRF.P.PO.i09","BRIEF-Preschool; parent; planning and organizing; item 09 [Orig Label: Må få beskjed ombegynne på en oppga]","0 Aldri et problem; 1 Noen ganger et problem; 2 Ofte et problem"
"62","BRF.P.PO.i14","BRIEF-Preschool; parent; planning and organizing; item 14 [Orig Label:  14 Når han/hun blir sendt forhente no]","0 Aldri et problem; 1 Noen ganger et problem; 2 Ofte et problem"
"63","BRF.P.PO.i19","BRIEF-Preschool; parent; planning and organizing; item 19 [Orig Label:  19 Klarer ikkefinne klær, sko, leker]","0 Aldri et problem; 1 Noen ganger et problem; 2 Ofte et problem"
"64","BRF.P.PO.i24","BRIEF-Preschool; parent; planning and organizing; item 24 [Orig Label:  24 Har vansker medfølge etablerte rut]","0 Aldri et problem; 1 Noen ganger et problem; 2 Ofte et problem"
"65","BRF.P.PO.i29","BRIEF-Preschool; parent; planning and organizing; item 29 [Orig Label:  29 Har vansker medkomme på nye måter]","0 Aldri et problem; 1 Noen ganger et problem; 2 Ofte et problem"
"66","BRF.P.PO.i34","BRIEF-Preschool; parent; planning and organizing; item 34 [Orig Label:  34 Etterlater seg rot som andre må rydde]","0 Aldri et problem; 1 Noen ganger et problem; 2 Ofte et problem"
"67","BRF.P.PO.i39","BRIEF-Preschool; parent; planning and organizing; item 39 [Orig Label:  39 Henger seg oppdetaljer og mister o]","0 Aldri et problem; 1 Noen ganger et problem; 2 Ofte et problem"
"68","BRF.P.PO.i44","BRIEF-Preschool; parent; planning and organizing; item 44 [Orig Label:  44 Klarer ikke finne tingene sine på rom]","0 Aldri et problem; 1 Noen ganger et problem; 2 Ofte et problem"
"69","BRF.P.PO.i49","BRIEF-Preschool; parent; planning and organizing; item 49 [Orig Label:  49 Har vansker medferdigstille oppgav]","0 Aldri et problem; 1 Noen ganger et problem; 2 Ofte et problem"
"70","BRF.P.PO.SS","BRIEF-Preschool; parent; planning and organizing; sum of scores"," "
"71","BRF.P.SH.i05","BRIEF-Preschool; parent; Shift; item 05 [Orig Label: Blir forvirret og oppskaketnye situ]","0 Aldri et problem; 1 Noen ganger et problem; 2 Ofte et problem"
"72","BRF.P.SH.i10","BRIEF-Preschool; parent; Shift; item 10 [Orig Label:  10 Har vansker medtilpasse seg nye pe]","0 Aldri et problem; 1 Noen ganger et problem; 2 Ofte et problem"
"73","BRF.P.SH.i15","BRIEF-Preschool; parent; Shift; item 15 [Orig Label:  15 Blir urolig når det oppstår endringer]","0 Aldri et problem; 1 Noen ganger et problem; 2 Ofte et problem"
"74","BRF.P.SH.i20","BRIEF-Preschool; parent; Shift; item 20 [Orig Label:  20 Bruker lang tid påbli trygg på nye]","0 Aldri et problem; 1 Noen ganger et problem; 2 Ofte et problem"
"75","BRF.P.SH.i25","BRIEF-Preschool; parent; Shift; item 25 [Orig Label:  25 Blir plaget av høye lyder, sterkt lys]","0 Aldri et problem; 1 Noen ganger et problem; 2 Ofte et problem"
"76","BRF.P.SH.i30","BRIEF-Preschool; parent; Shift; item 30 [Orig Label:  30 Blir forstyrret av endringeromgive]","0 Aldri et problem; 1 Noen ganger et problem; 2 Ofte et problem"
"77","BRF.P.SH.i35","BRIEF-Preschool; parent; Shift; item 35 [Orig Label:  35 Har vansker medskifte aktiviteter]","0 Aldri et problem; 1 Noen ganger et problem; 2 Ofte et problem"
"78","BRF.P.SH.i40","BRIEF-Preschool; parent; Shift; item 40 [Orig Label:  40 Har vansker medvære -aktivt deltag]","0 Aldri et problem; 1 Noen ganger et problem; 2 Ofte et problem"
"79","BRF.P.SH.i45","BRIEF-Preschool; parent; Shift; item 45 [Orig Label:  45 Motsetter seg endringer av rutiner, m]","0 Aldri et problem; 1 Noen ganger et problem; 2 Ofte et problem"
"80","BRF.P.SH.i50","BRIEF-Preschool; parent; Shift; item 50 [Orig Label:  50 Blir lett overveldet eller overstimul]","0 Aldri et problem; 1 Noen ganger et problem; 2 Ofte et problem"
"81","BRF.P.SH.SS","BRIEF-Preschool; parent; Shift; sum of scores"," "
"82","BRF.P.WM.i02","BRIEF-Preschool; parent; working memory; item 02 [Orig Label: Husker bare den første eller siste av]","0 Aldri et problem; 1 Noen ganger et problem; 2 Ofte et problem"
"83","BRF.P.WM.i07","BRIEF-Preschool; parent; working memory; item 07 [Orig Label: Har vansker medgjennomføre et handl]","0 Aldri et problem; 1 Noen ganger et problem; 2 Ofte et problem"
"84","BRF.P.WM.i12","BRIEF-Preschool; parent; working memory; item 12 [Orig Label:  12 Har vansker medkonsentrere seg om]","0 Aldri et problem; 1 Noen ganger et problem; 2 Ofte et problem"
"85","BRF.P.WM.i17","BRIEF-Preschool; parent; working memory; item 17 [Orig Label:  17 Gjentar de samme feilene om og om igj]","0 Aldri et problem; 1 Noen ganger et problem; 2 Ofte et problem"
"86","BRF.P.WM.i22","BRIEF-Preschool; parent; working memory; item 22 [Orig Label:  22 Gjør -slurvefeil- selv om han/hun ege]","0 Aldri et problem; 1 Noen ganger et problem; 2 Ofte et problem"
"87","BRF.P.WM.i27","BRIEF-Preschool; parent; working memory; item 27 [Orig Label:  27 Har vansker med aktiviteter og oppgav]","0 Aldri et problem; 1 Noen ganger et problem; 2 Ofte et problem"
"88","BRF.P.WM.i32","BRIEF-Preschool; parent; working memory; item 32 [Orig Label:  32 Må ha hjelp av en voksen forholde]","0 Aldri et problem; 1 Noen ganger et problem; 2 Ofte et problem"
"89","BRF.P.WM.i37","BRIEF-Preschool; parent; working memory; item 37 [Orig Label:  37 Glemmer hva han/hun holder på med mid]","0 Aldri et problem; 1 Noen ganger et problem; 2 Ofte et problem"
"90","BRF.P.WM.i42","BRIEF-Preschool; parent; working memory; item 42 [Orig Label:  42 Har vansker medgjøre ferdig oppgav]","0 Aldri et problem; 1 Noen ganger et problem; 2 Ofte et problem"
"91","BRF.P.WM.i47","BRIEF-Preschool; parent; working memory; item 47 [Orig Label:  47 Klarer ikke holde seg til saken når h]","0 Aldri et problem; 1 Noen ganger et problem; 2 Ofte et problem"
"92","BRF.P.WM.i51","BRIEF-Preschool; parent; working memory; item 51 [Orig Label:  51 Har vansker medkommegang med ak]","0 Aldri et problem; 1 Noen ganger et problem; 2 Ofte et problem"
"93","BRF.P.WM.i53","BRIEF-Preschool; parent; working memory; item 53 [Orig Label:  53forhold til egne ferdigheter prøver]","0 Aldri et problem; 1 Noen ganger et problem; 2 Ofte et problem"
"94","BRF.P.WM.i55","BRIEF-Preschool; parent; working memory; item 55 [Orig Label:  55 Er ikkestand tilbli ferdig med]","0 Aldri et problem; 1 Noen ganger et problem; 2 Ofte et problem"
"95","BRF.P.WM.i57","BRIEF-Preschool; parent; working memory; item 57 [Orig Label:  57 Er selv usikker på om han/hun gjør de]","0 Aldri et problem; 1 Noen ganger et problem; 2 Ofte et problem"
"96","BRF.P.WM.i59","BRIEF-Preschool; parent; working memory; item 59 [Orig Label:  59 Har vansker medhuske ting selvn]","0 Aldri et problem; 1 Noen ganger et problem; 2 Ofte et problem"
"97","BRF.P.WM.i61","BRIEF-Preschool; parent; working memory; item 61 [Orig Label:  61 Kan bare være oppmerksom en kort stun]","0 Aldri et problem; 1 Noen ganger et problem; 2 Ofte et problem"
"98","BRF.P.WM.i63","BRIEF-Preschool; parent; working memory; item 63 [Orig Label:  63 Er uvitende om han/hun utfører en opp]","0 Aldri et problem; 1 Noen ganger et problem; 2 Ofte et problem"
"99","BRF.P.WM.SS","BRIEF-Preschool; parent; working memory; sum of scores"," "
"100","BRF.T.EC.i01","BRIEF-Preschool; teacher; Emotional control; item 01 [Orig Label: 1 Overreagerer unødvendig sterkt på baga]","0 Aldri et problem; 1 Noen ganger et problem; 2 Ofte et problem"
"101","BRF.T.EC.i06","BRIEF-Preschool; teacher; Emotional control; item 06 [Orig Label: 6 Har voldsomme raserianfall]","0 Aldri et problem; 1 Noen ganger et problem; 2 Ofte et problem"
"102","BRF.T.EC.i11","BRIEF-Preschool; teacher; Emotional control; item 11 [Orig Label: 11 Blir for lett oppbrakt og oppskaket]","0 Aldri et problem; 1 Noen ganger et problem; 2 Ofte et problem"
"103","BRF.T.EC.i16","BRIEF-Preschool; teacher; Emotional control; item 16 [Orig Label: 16 Bryter utsinne for småting]","0 Aldri et problem; 1 Noen ganger et problem; 2 Ofte et problem"
"104","BRF.T.EC.i21","BRIEF-Preschool; teacher; Emotional control; item 21 [Orig Label: 21 Humøret endrer seg ofte]","0 Aldri et problem; 1 Noen ganger et problem; 2 Ofte et problem"
"105","BRF.T.EC.i26","BRIEF-Preschool; teacher; Emotional control; item 26 [Orig Label: 26 Små begivenheter utløser sterke reaks]","0 Aldri et problem; 1 Noen ganger et problem; 2 Ofte et problem"
"106","BRF.T.EC.i31","BRIEF-Preschool; teacher; Emotional control; item 31 [Orig Label: 31 Utbrudd av sinne eller gråt er voldso]","0 Aldri et problem; 1 Noen ganger et problem; 2 Ofte et problem"
"107","BRF.T.EC.i36","BRIEF-Preschool; teacher; Emotional control; item 36 [Orig Label: 36 Reagerer sterkere enn andre barn på s]","0 Aldri et problem; 1 Noen ganger et problem; 2 Ofte et problem"
"108","BRF.T.EC.i41","BRIEF-Preschool; teacher; Emotional control; item 41 [Orig Label: 41 Blir lett overveldet eller overbegeis]","0 Aldri et problem; 1 Noen ganger et problem; 2 Ofte et problem"
"109","BRF.T.EC.i46","BRIEF-Preschool; teacher; Emotional control; item 46 [Orig Label: 46 Er skuffetlang tid etterha fått]","0 Aldri et problem; 1 Noen ganger et problem; 2 Ofte et problem"
"110","BRF.T.EC.SS","BRIEF-Preschool; teacher; Emotional control; sum of scores"," "
"111","BRF.T.IH.i03","BRIEF-Preschool; teacher; Inhibition; item 03 [Orig Label: 3 Er ikke klar over hvordan hans/hennes]","0 Aldri et problem; 1 Noen ganger et problem; 2 Ofte et problem"
"112","BRF.T.IH.i08","BRIEF-Preschool; teacher; Inhibition; item 08 [Orig Label: 8 Han/hun stopper ikkele av morsomhet]","0 Aldri et problem; 1 Noen ganger et problem; 2 Ofte et problem"
"113","BRF.T.IH.i13","BRIEF-Preschool; teacher; Inhibition; item 13 [Orig Label: 13 Må ha tettere oppfølging enn jevnaldr]","0 Aldri et problem; 1 Noen ganger et problem; 2 Ofte et problem"
"114","BRF.T.IH.i18","BRIEF-Preschool; teacher; Inhibition; item 18 [Orig Label: 18 Opptrer villere eller gjør flere tåpe]","0 Aldri et problem; 1 Noen ganger et problem; 2 Ofte et problem"
"115","BRF.T.IH.i23","BRIEF-Preschool; teacher; Inhibition; item 23 [Orig Label: 23 Er fingrete, urolig og har kriblinger]","0 Aldri et problem; 1 Noen ganger et problem; 2 Ofte et problem"
"116","BRF.T.IH.i28","BRIEF-Preschool; teacher; Inhibition; item 28 [Orig Label: 28 Er impulsiv]","0 Aldri et problem; 1 Noen ganger et problem; 2 Ofte et problem"
"117","BRF.T.IH.i33","BRIEF-Preschool; teacher; Inhibition; item 33 [Orig Label: 33 Legger ikke merke til når hans/hennes]","0 Aldri et problem; 1 Noen ganger et problem; 2 Ofte et problem"
"118","BRF.T.IH.i38","BRIEF-Preschool; teacher; Inhibition; item 38 [Orig Label: 38 Innser ikke at en del handlinger plag]","0 Aldri et problem; 1 Noen ganger et problem; 2 Ofte et problem"
"119","BRF.T.IH.i43","BRIEF-Preschool; teacher; Inhibition; item 43 [Orig Label: 43 Kommer oftere ut av kontroll enn venn]","0 Aldri et problem; 1 Noen ganger et problem; 2 Ofte et problem"
"120","BRF.T.IH.i48","BRIEF-Preschool; teacher; Inhibition; item 48 [Orig Label: 48 Snakker og leker alt for støyende]","0 Aldri et problem; 1 Noen ganger et problem; 2 Ofte et problem"
"121","BRF.T.IH.i52","BRIEF-Preschool; teacher; Inhibition; item 52 [Orig Label: 52 Oppfører seg viltert eller ukontrolle]","0 Aldri et problem; 1 Noen ganger et problem; 2 Ofte et problem"
"122","BRF.T.IH.i54","BRIEF-Preschool; teacher; Inhibition; item 54 [Orig Label: 54 Har vansker medstoppe en handling]","0 Aldri et problem; 1 Noen ganger et problem; 2 Ofte et problem"
"123","BRF.T.IH.i56","BRIEF-Preschool; teacher; Inhibition; item 56 [Orig Label: 56 Avslutter oppgaver eller aktiviteter]","0 Aldri et problem; 1 Noen ganger et problem; 2 Ofte et problem"
"124","BRF.T.IH.i58","BRIEF-Preschool; teacher; Inhibition; item 58 [Orig Label: 58 Blir lett avsporet under en aktivitet]","0 Aldri et problem; 1 Noen ganger et problem; 2 Ofte et problem"
"125","BRF.T.IH.i60","BRIEF-Preschool; teacher; Inhibition; item 60 [Orig Label: 60 Oppfører seg ubetenksomt]","0 Aldri et problem; 1 Noen ganger et problem; 2 Ofte et problem"
"126","BRF.T.IH.i62","BRIEF-Preschool; teacher; Inhibition; item 62 [Orig Label: 62 Leker uforsiktig eller hensynsløst i]","0 Aldri et problem; 1 Noen ganger et problem; 2 Ofte et problem"
"127","BRF.T.IH.SS","BRIEF-Preschool; teacher; Inhibition; sum of scores"," "
"128","BRF.T.PO.i04","BRIEF-Preschool; teacher; planning and organizing; item 04 [Orig Label: 4 Når han/hun får beskjed omrydde, bl]","0 Aldri et problem; 1 Noen ganger et problem; 2 Ofte et problem"
"129","BRF.T.PO.i09","BRIEF-Preschool; teacher; planning and organizing; item 09 [Orig Label: 9 Må få beskjed ombegynne på en oppga]","0 Aldri et problem; 1 Noen ganger et problem; 2 Ofte et problem"
"130","BRF.T.PO.i14","BRIEF-Preschool; teacher; planning and organizing; item 14 [Orig Label: 14 Når han/hun blir sendt forhente no]","0 Aldri et problem; 1 Noen ganger et problem; 2 Ofte et problem"
"131","BRF.T.PO.i19","BRIEF-Preschool; teacher; planning and organizing; item 19 [Orig Label: 19 Klarer ikkefinne klær, sko, leker]","0 Aldri et problem; 1 Noen ganger et problem; 2 Ofte et problem"
"132","BRF.T.PO.i24","BRIEF-Preschool; teacher; planning and organizing; item 24 [Orig Label: 24 Har vansker medfølge etablerte rut]","0 Aldri et problem; 1 Noen ganger et problem; 2 Ofte et problem"
"133","BRF.T.PO.i29","BRIEF-Preschool; teacher; planning and organizing; item 29 [Orig Label: 29 Har vansker medkomme på nye måter]","0 Aldri et problem; 1 Noen ganger et problem; 2 Ofte et problem"
